                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.109,                 1.9357,                 1.1998,                      1,                0.92472,                0.99305,                0.67975,                 1.0012,                 2.3585,                 1.0438,             0.00054725,             0.00054725,             0.00054725
                      2,                0.89632,                  1.091,                 1.0372,                      1,                0.99575,                  0.995,                 0.7731,                0.85068,                 1.2529,                0.95518,             0.00073895,             0.00073895,             0.00073895
                      3,                0.82033,                0.89646,                 1.0028,                0.99616,                0.99691,                0.99478,                0.78722,                0.83508,                0.96249,                0.95595,             0.00056392,             0.00056392,             0.00056392
